Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
18-23-28,3239.5,16.9349853515625,17.053655743598938
18-23-29,3240.5,16.93406982421875,17.047938406467438
18-23-30,3241.5,16.92923583984375,17.047299206256866
18-23-31,3242.5,16.92352294921875,17.047541201114655
18-23-32,3243.6,16.926068115234376,17.04712688922882
18-23-33,3244.6,16.926263427734376,17.04755872488022
18-23-34,3245.6,16.91983642578125,17.05365616083145
18-23-35,3246.6,16.918060302734375,17.052429914474487
18-23-36,3247.6,16.925933837890625,17.051134407520294
18-23-37,3248.6,16.924444580078124,17.051237881183624
18-23-38,3249.7,16.925067138671874,17.05192881822586
18-23-39,3250.7,16.92802734375,17.051254987716675
18-23-40,3251.7,16.927545166015626,17.05149656534195
18-23-41,3252.7,16.919818115234374,17.052826702594757
18-23-42,3253.7,16.918853759765625,17.05085778236389
18-23-43,3254.7,16.91943359375,17.050183951854706
18-23-44,3255.8,16.923046875,17.05056405067444
18-23-45,3256.8,16.9259765625,17.05118614435196
18-23-46,3257.8,16.9331298828125,17.050581574440002
18-23-47,3258.8,16.939599609375,17.052965223789215
18-23-48,3259.8,16.9379638671875,17.049890637397766
18-23-49,3260.9,16.92802734375,17.0438449382782
18-23-50,3261.9,16.92889404296875,17.044121146202087
18-23-51,3262.9,16.9230224609375,17.04351657629013
18-23-52,3263.9,16.918572998046876,17.043378472328186
18-23-53,3264.9,16.919085693359374,17.045554757118225
18-23-54,3266.0,16.9249267578125,17.051012992858887
18-23-55,3267.0,16.927691650390624,17.050702154636383
18-23-57,3268.0,16.927838134765626,17.050736367702484
18-23-58,3269.0,16.923565673828126,17.050045430660248
18-23-59,3270.0,16.919580078125,17.04396551847458
18-24-00,3271.1,16.9040283203125,17.044362723827362
18-24-01,3272.1,16.8984619140625,17.04389625787735
18-24-02,3273.1,16.905279541015624,17.045312762260437
18-24-03,3274.1,16.9062744140625,17.04660826921463
18-24-04,3275.1,16.914007568359374,17.05122035741806
18-24-05,3276.1,16.933880615234376,17.05120325088501
18-24-06,3277.2,16.938299560546874,17.04736888408661
18-24-07,3278.2,16.9320068359375,17.045624434947968
18-24-08,3279.2,16.93170166015625,17.039440631866455
18-24-09,3280.2,16.9253173828125,17.041962385177612
18-24-10,3281.2,16.920855712890624,17.04265332221985
18-24-11,3282.3,16.91739501953125,17.046729683876038
18-24-12,3283.3,16.91734619140625,17.046729683876038
18-24-13,3284.3,16.91966552734375,17.047057628631592
18-24-14,3285.3,16.92086181640625,17.045883119106293
18-24-15,3286.3,16.913372802734376,17.03895664215088
18-24-16,3287.3,16.9147216796875,17.033774614334106
18-24-17,3288.4,16.917974853515624,17.034690022468567
18-24-18,3289.4,16.918792724609375,17.039733946323395
18-24-19,3290.4,16.921820068359374,17.03417181968689
18-24-20,3291.4,16.921527099609374,17.033843457698822
18-24-21,3292.4,16.917156982421876,17.034793496131897
18-24-22,3293.5,16.91318359375,17.03410255908966
18-24-23,3294.5,16.91519775390625,17.028005123138428
18-24-24,3295.5,16.91148681640625,17.03429239988327
18-24-25,3296.5,16.914166259765626,17.034499764442444
18-24-26,3297.5,16.90859375,17.034154295921326
18-24-27,3298.5,16.9064697265625,17.02776312828064
18-24-28,3299.6,16.90003662109375,17.03565675020218
18-24-29,3300.6,16.89808349609375,17.031615018844604
18-24-30,3301.6,16.90010986328125,17.03183948993683
18-24-31,3302.6,16.90379638671875,17.029922306537628
18-24-32,3303.6,16.90194091796875,17.030406296253204
18-24-33,3304.7,16.900115966796875,17.02916294336319
18-24-34,3305.7,16.903668212890626,17.02781569957733
18-24-35,3306.7,16.8999755859375,17.034276127815247
18-24-36,3307.7,16.9005615234375,17.036296784877777
18-24-37,3308.8,16.905535888671874,17.036003053188324
18-24-38,3309.8,16.91322021484375,17.028713583946228
18-24-39,3310.8,16.9125,17.028523325920105
18-24-40,3311.8,16.9196533203125,17.021562218666077
18-24-41,3312.8,16.920904541015624,17.02121675014496
18-24-42,3313.9,16.92061767578125,17.02180379629135
18-24-43,3314.9,16.909893798828126,17.021648585796356
18-24-44,3315.9,16.90858154296875,17.019887030124664
18-24-45,3316.9,16.90189208984375,17.01904046535492
18-24-46,3317.9,16.900323486328126,17.01767611503601
18-24-47,3319.0,16.8970703125,17.016950964927673
18-24-48,3320.0,16.9044677734375,17.01701980829239
18-24-50,3321.0,16.89833984375,17.01848804950714
18-24-51,3322.0,16.89644775390625,17.01947271823883
18-24-52,3323.0,16.887548828125,17.019040882587433
18-24-53,3324.1,16.8876953125,17.01947271823883
18-24-54,3325.1,16.878057861328124,17.01981818675995
18-24-55,3326.1,16.879962158203124,17.020318865776062
18-24-56,3327.1,16.87298583984375,17.0205779671669
18-24-57,3328.1,16.872283935546875,17.020042657852173
18-24-58,3329.1,16.87462158203125,17.019645035266876
18-24-59,3330.2,16.879132080078126,17.020301342010498
18-25-00,3331.2,16.879705810546874,17.020612180233
18-25-01,3332.2,16.891082763671875,17.019454777240753
18-25-02,3333.2,16.9031982421875,17.021820902824402
18-25-03,3334.2,16.9017578125,17.02213215827942
18-25-04,3335.2,16.89969482421875,17.014014065265656
18-25-05,3336.3,16.89835205078125,17.012563347816467
18-25-06,3337.3,16.893634033203124,17.014912366867065
18-25-07,3338.3,16.89259033203125,17.015171468257904
18-25-08,3339.3,16.885247802734376,17.015914142131805
18-25-09,3340.3,16.88299560546875,17.02384239435196
18-25-10,3341.4,16.88438720703125,17.022909462451935
18-25-11,3342.4,16.87523193359375,17.021165013313293
18-25-12,3343.4,16.864898681640625,17.020076870918274
18-25-13,3344.4,16.86611328125,17.019420564174652
18-25-14,3345.4,16.86859130859375,17.019334197044373
18-25-15,3346.5,16.865374755859374,17.02000802755356
18-25-16,3347.5,16.876080322265626,17.020250022411346
18-25-17,3348.5,16.881134033203125,17.019973814487457
18-25-18,3349.5,16.884576416015626,17.01990455389023
18-25-19,3350.5,16.8834228515625,17.021044433116913
18-25-20,3351.6,16.883258056640624,17.0217524766922
18-25-21,3352.6,16.8755615234375,17.020802438259125
18-25-22,3353.6,16.87767333984375,17.022425889968872
18-25-23,3354.6,16.872979736328126,17.023652136325836
18-25-24,3355.6,16.872998046875,17.02202868461609
18-25-25,3356.6,16.878973388671874,17.021337747573853
18-25-26,3357.7,16.884210205078126,17.01515394449234
18-25-27,3358.7,16.8789794921875,17.0072603225708
18-25-28,3359.7,16.883001708984374,17.005118668079376
18-25-29,3360.7,16.87901611328125,16.998157560825348
18-25-30,3361.7,16.871588134765624,16.999660432338715
18-25-31,3362.8,16.866644287109374,17.000247478485107
18-25-32,3363.8,16.86898193359375,17.00644838809967
18-25-33,3364.8,16.8639404296875,17.00836557149887
18-25-34,3365.8,16.86378173828125,17.01717460155487
18-25-35,3366.8,16.864727783203126,17.010023653507233
18-25-36,3367.9,16.86007080078125,17.012113988399506
18-25-37,3368.9,16.862548828125,17.01349586248398
18-25-38,3369.9,16.864227294921875,17.01249408721924
18-25-39,3370.9,16.869171142578125,17.004116892814636
18-25-40,3371.9,16.86739501953125,17.003062963485718
18-25-41,3373.0,16.86859130859375,17.008020102977753
18-25-42,3374.0,16.862335205078125,16.999815225601196
18-25-43,3375.0,16.85716552734375,16.99342405796051
18-25-45,3376.0,16.8577880859375,17.00038516521454
18-25-46,3377.0,16.86361083984375,17.00092089176178
18-25-47,3378.1,16.8681396484375,17.000385582447052
18-25-48,3379.1,16.870440673828124,17.007830262184143
18-25-49,3380.1,16.872552490234376,17.009643971920013
18-25-50,3381.1,16.87098388671875,17.002389132976532
18-25-51,3382.1,16.86119384765625,17.009591817855835
